Producto,Gran Buenos Aires,Pampeana,Noroeste,Noreste,Cuyo,Patagonia
Aceite girasol,1200,1020,1050,1140,990,1020
Acelga,750,750,360,300,660,570
Arroz,1200,1080,1050,1500,870,810
Arvejas en lata,120,240,120,150,120,180
Asado,1230,1500,1050,1380,1410,1200
Azucar,1230,1290,1290,1350,1380,1380
Banana,810,960,1410,1470,1164,1170
Batata,510,270,0,0,240,0
Cafe,30,30,30,30,60,30
Caldo conc.,60,30,30,30,30,30
Carne picada,900,810,480,660,1200,1500
Cebolla,1380,1320,1530,1980,1080,2100
Cerveza,510,630,300,600,300,600
Dulce de batata,110,70,0,0,0,30
Dulce de leche,110,70,70,30,40,30
Fideos secos,1740,1680,1050,1050,1680,810
Galletitas saladas,420,390,360,180,210,180
Galletitas dulces,210,180,90,120,120,180
Gaseosas,750,630,1500,930,600,1110
Harina maiz,210,180,210,150,150,150
Harina trigo,1080,1350,2190,2070,1650,2850
Higado,270,270,270,270,270,180
Hueso c/carne,390,450,1050,870,630,0
Huevo,600,480,390,480,540,450
Jugo conc.,1500,960,900,870,870,810
Leche entera en polvo,,330,390,750,570,750
Leche fluida entera,9270,8100,6900,4560,5070,4050
Lechuga,660,660,420,540,660,660
Mandarina,1140,1320,1230,1230,1320,1590
Manteca,60,60,60,0,0,90
Manzana,1380,1830,997,1147,1433,1890
Margarina,0,90,0,60,150,90
Mayonesa,60,60,60,90,90,90
Mermelada,110,70,70,30,40,30
Mortadela,0,60,0,60,0,30
Naranja,1350,1290,1710,1650,1260,1470
Paleta,780,0,0,0,330,270
Paleta cocida,30,30,0,30,60,30
Pan Frances,6750,7020,7350,7020,7620,6720
Papa,6510,6870,6870,6930,6870,7230
Pera,270,480,137,137,159,0
Pescado,180,330,120,210,330,210
Pollo,1650,1890,1800,1230,1650,1800
Queso crema,80,50,60,40,70,70
Queso cuartirolo,170,110,120,80,140,140
Queso de rallar,80,50,60,30,60,60
Sal fina,120,150,120,150,150,180
Soda,1200,2100,2400,1500,2550,900
Tomate envasado,240,210,180,240,180,240
Tomate,1440,2070,2160,1680,2010,1350
Vinagre,60,90,60,30,60,60
Vino,570,660,510,600,1020,600
Yerba,510,600,360,750,360,450
Yogurt,570,570,510,360,480,510
Zanahoria,540,810,840,750,780,780
Zapallo,720,870,1050,810,990,840
